2026-08-18 15:10:01 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199266, Requested 5680. Please try again in 35m36.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:10:01 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_8ab76c7498; falling back to heuristics.
2026-08-18 15:10:01 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:10:01 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:10:01 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199266, Requested 5923. Please try again in 37m21.648s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:10:01 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_9a230a9ce1; falling back to heuristics.
2026-08-18 15:10:01 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:10:01 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
2026-08-18 15:10:01 | ERROR    | graphrag.extraction.llm_client | LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7k2ecmt3r5y40ew7wdg` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199265, Requested 5696. Please try again in 35m43.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-08-18 15:10:01 | DEBUG    | graphrag.extraction.relationships | LLM produced no usable relationships for chunk chunk_93c22106b1; falling back to heuristics.
2026-08-18 15:10:01 | WARNING  | graphrag.extraction.llm_client | Rate limit 429 hit (Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m09wb7...). Triggering instant dynamic fallback.
